Cbias,credibility,domain,name,questionable,reporting,url,facebook,popularity,twitter
fake-news,low-credibility,100percentfedup.com,100% Fed up,"['conspiracy', 'censorship', 'propaganda', 'plagiarism', 'pseudoscience', 'poor-sourcing', 'failed-fact-checks']",low,https://mediabiasfactcheck.com/100-percent-fed-up/,100PercentFEDUp,55,
fake-news,low-credibility,10news.one,10News.one,[],low,https://mediabiasfactcheck.com/10news-one/,10Newsdotone,27,10newsdotone
fake-news,low-credibility,12minutos.com,12minutos.com,['fake-news'],low,https://mediabiasfactcheck.com/12minutos-com/,,32,
fake-news,low-credibility,163.com,NetEase (163.com),"['propaganda', 'plagiarism', 'pseudoscience', 'poor-sourcing', 'misinformation']",mixed,https://mediabiasfactcheck.com/netease-163-com-bias/,,,
fake-news,low-credibility,1tv.ru,Channel One Russia,"['conspiracy', 'censorship', 'propaganda', 'plagiarism', 'pseudoscience', 'poor-sourcing', 'failed-fact-checks', 'false-claims', 'misinformation', 'hate', 'fake-news']",mixed,https://mediabiasfactcheck.com/channel-one-russia-bias/,,,
fake-news,low-credibility,2020conservative.com,2020 Conservative,"['conspiracy', 'censorship', 'propaganda', 'plagiarism', 'pseudoscience', 'poor-sourcing', 'false-claims']",very-low,https://mediabiasfactcheck.com/2020-conservative-bias/,,,
conspiracy-pseudoscience,low-credibility,2020electioncenter.com,2020ElectionCenter.com,[],very-low,https://mediabiasfactcheck.com/2020electioncenter-com-bias/,,,
conspiracy-pseudoscience,low-credibility,21stcenturywire.com,21st Century Wire,[],mixed,https://mediabiasfactcheck.com/21st-century-wire/,21WIRE.TV,64,21WIRE
fake-news,low-credibility,247newsmedia.com,247 News Media,[],very-low,https://mediabiasfactcheck.com/247-news-media/,,12,
fake-news,low-credibility,24jours.com,24jours.com,"['conspiracy', 'censorship', 'poor-sourcing', 'failed-fact-checks', 'fake-news']",low,https://mediabiasfactcheck.com/24jours-com/,,,
fake-news,low-credibility,24wpn.com,WorldPolitics News,[],low,https://mediabiasfactcheck.com/worldpolitics-news/,,12,
conspiracy-pseudoscience,low-credibility,369news.net,369 News,[],mixed,https://mediabiasfactcheck.com/369news/,369UNIVERSE,34,
fake-news,low-crFedibility,3ccorp.net,3CCorp.net,[],low,https://mediabiasfactcheck.com/3ccorp-net/,,22,
fake-news,low-credibility,4chan.org,4Chan,"['conspiracy', 'censorship', 'propaganda', 'plagiarism', 'pseudoscience', 'poor-sourcing', 'failed-fact-checks', 'false-claims', 'misinformation', 'hate']",very-low,https://mediabiasfactcheck.com/4chan-bias/,,,
conspiracy-pseudoscience,low-credibility,79days.news,79Days.News,[],very-low,https://mediabiasfactcheck.com/79days-news/,,20,
conspiracy-pseudoscience,low-credibility,911truth.org,911Truth.org,[],low,https://mediabiasfactcheck.com/911truth-org/,twowayradioshow,73,
fake-news,low-credibility,9gag.com,9GaG,"['poor-sourcing', 'failed-fact-checks', 'false-claims', 'misinformation', 'fake-news']",mixed,https://mediabiasfactcheck.com/9gag-bias-and-credibility/,,,
fake-news,low-credibility,aapsonline.org,Association of American Physicians and Surgeons (AAPS),"['conspiracy', 'censorship', 'poor-sourcing', 'failed-fact-checks', 'false-claims', 'misinformation']",low,https://mediabiasfactcheck.com/association-of-american-physicians-and-surgeons-aaps/,,64,
fake-news,low-credibility,aattp.org,Americans Against the Tea Party (AATTP),[],low,https://mediabiasfactcheck.com/americans-against-the-tea-party-aattp/,,45,
fake-news,low-credibility,abcbusinessnews.com,Experience Awareness (AbcBusinessNews.com),"['conspiracy', 'censorship', 'propaganda', 'plagiarism', 'pseudoscience', 'false-claims', 'misinformation', 'fake-news', 'imposter']",very-low,https://mediabiasfactcheck.com/experience-awareness-abcbusinessnews-com/,,15,
fake-news,low-credibility,abcnews-us.com,abcnews-us.com,[],very-low,https://mediabiasfactcheck.com/abcnews-us-com/,,20,
conspiracy-pseudoscience,low-credibility,abeldanger.org,Abel Danger,[],mixed,https://mediabiasfactcheck.com/abel-danger/,,36,
conspiracy-pseudoscience,low-credibility,abovetopsecret.com,Above Top Secret,[],low,https://mediabiasfactcheck.com/above-top-secret/,atsnews,64,
fake-news,low-credibility,abqtimes.com,ABQ Times,"['false-claims', 'imposter']",mixed,https://mediabiasfactcheck.com/abq-times-bias/,,,
conspiracy-pseudoscience,low-credibility,acallforanuprising.com,A Call for an Uprising,[],low,https://mediabiasfactcheck.com/a-call-for-an-uprising/,,,
fake-news,low-credibility,acpeds.org,American College of Pediatricians,"['poor-sourcing', 'failed-fact-checks', 'misinformation', 'hate']",low,https://mediabiasfactcheck.com/american-college-of-pediatricians/,,56,
