date,type,topic,title,url,text
6/10/2025,Article,News,School shooting leaves Austria's second city in shock and grief,https://www.bbc.com//news/articles/cewd980dgl9o,"There is shock, sadness and disbelief in Graz, after the worst shooting in modern Austrian history left 11 people dead, including the gunman. ""We never could have imagined that this could have happened here, in our place. It's a sad day for the whole city,"" said Reka, who lives close to the school. For many years, Austria had been spared the pain of mass school shootings. But that all changed at about 10:00 on Tuesday when a former student ran amok at a secondary school in the Dreierschützengasse, close to the main station in Austria's second largest city. Morning classes were under way when the attack took place. Some students at the school would have been taking their final exams. It took police 17 minutes to bring the situation under control. By the time it was over six female victims and three males had died. Hours later, a seventh female victim, an adult woman, died in hospital. Several others remain in hospital, some with critical injuries. The gunman, a 21-year-old Austrian citizen with two firearms, took his own life at the school. A former pupil who never passed his final exams, he is reported to have seen himself as a victim of bullying. Local resident Reka told me she couldn't understand how an attack like this could have happened in her well-ordered city. ""This area is quiet, safe and beautiful,"" she said. ""People are nice, the school is good."" Austria's President Alexander Van der Bellen said: ""This horror cannot be put into words. What happened today in a school in Graz, hits our country right in the heart. These were young people who had their whole lives ahead of them. A teacher who accompanied them on their way."" He said there was ""nothing at this moment that can alleviate the pain that the parents, grandparents, siblings and friends of those murdered are feeling"". Austria's Chancellor Christian Stocker, who rushed to the scene with the Interior Minister Gerhard Karner, called it ""a national tragedy, that had shaken the entire country."" He said there were no words to describe ""the pain and grief that we all – the whole of Austria – is feeling"". Three days of mourning have been declared in Austria. Flags on the Hofburg Palace in Vienna, where President van der Bellen has his office, will fly at half-mast. Austria has one of the most heavily armed civilian populations in Europe, with an estimated 30 firearms per 100 persons, according to the Small Arms Survey, an independent research project. But school shootings here are rare. There have been a few incidents over the years that have involved far fewer casualties: Austria's most violent gun attack in recent years took place in the heart of Vienna in November 2020. Four people were killed and 22 injured when a convicted jihadist ran through the centre of the city opening fire, before he was eventually shot by police. Machine guns and pump action guns are banned, while revolvers, pistols and semi-automatic weapons are allowed only with official authorisation. Rifles and shotguns are permitted with a firearms licence or a valid hunting licence, or for members of traditional shooting clubs. The Graz gunman is understood to have owned both firearms legally, and he had no criminal record. One of his guns was bought only the day before the attack, according to one report. Outside the school, a young man on a bicycle watched as the police allowed security vehicles through the security cordon round the school. ""It's horrific,"" he told me. ""This is my home. I can't understand how so many people my age are dead. This shouldn't happen here."" Copyright 2025 BBC. All rights reserved.  The BBC is not responsible for the content of external sites. Read about our approach to external linking.  "
6/10/2025,Article,News,Newsom says Trump 'deranged' as thousands more troops sent to LA,https://www.bbc.com//news/articles/cyvmz3egr7do,"US President Donald Trump's administration has sent thousands more troops to Los Angeles on a fourth day of chaotic protests against immigration raids, as the unrest spread to other US cities. Some 700 US Marines have been deployed to the LA area and the contingent of National Guard troops mobilised to help quell the disorder has been doubled to 4,000. California Governor Gavin Newsom said the move was fulfilling ""the deranged fantasy of a dictatorial president"". The state is suing the president for sending in troops without the governor's permission. It is highly unusual for the American military to have any domestic law enforcement role. At least four Mexican nationals detained in LA since Friday have already been deported back to Mexico, the country's foreign affairs office announced on Monday. The standoff in LA represents the first time since 1965 that a president has sent National Guard troops to a US city without a governor's approval. US Marines were previously deployed domestically for major disasters such as Hurricane Katrina in 2005 and the 11 September 2001 attacks. The Trump administration has so far not invoked the Insurrection Act, which would allow his deployed troops to directly participate in civilian policing. On Tuesday morning, the LA County prosecutor reiterated the view of state authorities that the extra deployment was unnecessary. ""We have not reached the point where local law enforcement has got beyond its means to deal with the situation,"" District Attorney Nathan Hochman told BBC Radio 4's Today programme. Hochman said only a ""small fraction"" of the area's population were actually protesting, and an even smaller number had broken the law.  But he said there had been multiple instances of crime, ""whether it's burning Waymo vehicles, throwing cinder blocks and bricks at the police, driving a motorcycle into the police, or vandalising - and defacing through graffiti - public and private buildings"". The 700 members of 2nd Battalion, 7th Marines, from Twentynine Palms, California, will help protect federal property and personnel, including immigration agents, said the US military. On Monday evening, Los Angeles police officers fired stun grenades and gas canisters to disperse hundreds of demonstrators who gathered outside a federal detention centre in downtown LA where undocumented immigrants have been held. National Guard forces formed a cordon to keep protesters out of the building in the heart of America's second largest city. Some demonstrators had thrown objects at officers, the Los Angeles Police Department (LAPD) also said on Monday. Late that day, US Attorney General Pam Bondi revealed the identity of a man accused of assault for throwing rocks at federal agents. Bondi said a search warrant has been conducted on his home, and that the man, Elpidio Reyna, would be added to America's ""Most Wanted"" list.  Protests also sprang up in at least nine other US cities, including New York, Philadelphia, Dallas, Austin and San Francisco. Demonstrators originally took to the streets of LA on Friday after it emerged Immigration and Customs Enforcement (ICE) officers were raiding Latino areas. The protests unravelled into looting, self-driving cars being torched, rocks thrown at law enforcement and a major freeway blocked by demonstrators. The LAPD says it arrested 29 people on Saturday night and 21 more on Sunday. Suspects face charges ranging from attempted murder with a Molotov cocktail, to assault on a police officer, to looting. The LAPD also says more than 600 rubber bullets and other less-than-lethal rounds were used over the weekend. At the White House on Monday, Trump said his decision to send in the National Guard had stopped the city from ""burning down"". ""You watch same clips I did: cars burning, people rioting, we stopped it,"" the president said. ""I feel we had no choice."" A CBS News/YouGov poll conducted in early June, before the protests kicked off, found 54% of Americans saying they approved of Trump's deportation policy, and 50% approved of how he is handling immigration.  That compares with smaller numbers of 42% who gave approval to his economic policy and 39% for his policy on tackling inflation.  On Monday, the Republican president said he supported a suggestion that California's governor should be arrested over possible obstruction of his administration's immigration enforcement measures. Newsom, who has engaged in a war of words in recent days with Trump, responded on X that ""this is an unmistakable step toward authoritarianism"". He said the troop deployment was ""about stroking a dangerous president's ego"". Trump's border tsar Tom Homan later told CNN he had ""not at this time"" seen anything that he felt would warrant an arrest of the California governor. Trump also sent a direct warning to protesters who confronted police and federal forces. He wrote on social media: ""IF THEY SPIT, WE WILL HIT, and I promise you they will be hit harder than they have ever been hit before. Such disrespect will not be tolerated!"" At a press conference on Monday evening, LA Mayor Karen Bass echoed the views of other local officials by saying the deployment of troops was a ""deliberate attempt"" by the Trump administration to ""create disorder and chaos in our city"". The city leader also said she was aware of at least ""five raids by ICE throughout the region"" on Monday, including one near her grandson's school. Trump's deployment of the National Guard faces a legal challenge from Newsom. The lawsuit argues that the president was violating the US Constitution and California's sovereignty. Newsom has also threatened to take separate legal action over the Marine deployment.  Trump has argued that the administration of his predecessor, Democratic President Joe Biden, allowed millions of immigrants to enter the country illegally. He has pledged to deport record numbers of undocumented migrants, setting a goal of at least 3,000 daily arrests. Copyright 2025 BBC. All rights reserved.  The BBC is not responsible for the content of external sites. Read about our approach to external linking.  "
6/10/2025,Video,News,US cities follow LA's protests over Trump's immigration raids,https://www.bbc.com//news/videos/cd904744ejeo,"Demonstrators in a number of other US cities have joined Los Angeles in protesting over raids by immigration authorities under US President Donald Trump.  Protesters were filmed on Monday in cities including Boston, Houston and Philadelphia, as demonstrations entered their fourth day in Los Angeles. Trump sent another 2,000 National Guard troops to LA - as well as 700 US Marines - even as protests quietened towards the end of the day. Copyright 2025 BBC. All rights reserved.  The BBC is not responsible for the content of external sites. Read about our approach to external linking.  "
6/10/2025,Article,News,Everything we know about the LA protests,https://www.bbc.com//news/articles/cj93d3r0zz0o,"Dozens of people have been arrested in Los Angeles after days of violent protests, which erupted following immigration raids.  US President Donald Trump deployed 2,000 National Guard troops to the city, triggering outrage from Democrats. Then on Monday he ordered another 2,000 troops and 700 marines to deploy to the city, too.  People began gathering after federal immigration officers arrested large groups of unauthorised immigrants in areas with large Latino populations. While the demonstrations started out as peaceful, some self-driving vehicles were set on fire and a major highway was shut down by protesters over the weekend before the unrest began to calm later on Monday.  The protests began on Friday after it emerged Immigration and Customs Enforcement (ICE) officers were carrying out raids in areas of the city with prominent Latino populations.  Raids have stepped up after Trump returned to the White House and pledged to crack down on illegal immigration.  The BBC's US partner, CBS News, reported that recent operations took place in the Westlake district as well as in Paramount, south of LA - where the population is more than 82% Hispanic. There were also reports of an ICE raid at a Home Depot shop in Paramount, which officials told the BBC were false. ICE later told CBS that 44 unauthorised immigrants were arrested in a single operation at a job site on Friday. Another 77 were also arrested in the greater LA area on the same day. The protests have been largely limited to downtown LA, which has been declared an ""unlawful assembly"" area by police after days of clashes.  Elsewhere in the sprawling city of LA, life continues as normal - and some areas were closed off over the weekend for the LA Pride parade. On Saturday, Trump deployed 2,000 National Guard members to the Los Angeles area, triggering a political row with state politicians. On Monday evening, he ordered another 2,000 National Guard members to the west-coast city. The Pentagon also called up 700 marines to assist with the efforts. The National Guard acts as a hybrid entity that serves both state and federal interests. Typically, a state's force is activated at the request of the governor.  Trump circumvented that step by invoking a rarely-used federal law, arguing that the protests constituted ""a form of rebellion against the authority of the government of the United States"". This is reportedly the first time the National Guard has been activated without request of the state's governor since 1965. The move has been condemned by California Governor Gavin Newsom and LA Mayor Karen Bass, who said they believed local police could handle the situation.  Newsom accused Trump of an ""illegal"" act that was ""putting fuel on this fire"", and then sued Trump's administration. In its lawsuit filed on Monday, California argued that Trump was going against the US Constitution, which has protections for states' rights , in deploying the guard against the governor's wishes. The 10th amendment says that any power not expressly granted to the federal government in the Constitution goes to the states. California Attorney General Rob Bonta called the deployment an ""inflammatory escalation unsupported by conditions on the ground"" and ""exceeds the federal government's authority"". A CBS News/YouGov poll conducted in early June, before the protests kicked off, found 54% of Americans saying they approved of Trump's deportation policy, and 50% approved of how he is handling immigration. That compares with smaller numbers of 42% who gave approval to his economic policy and 39% for his policy on tackling inflation. The role of the National Guard is to protect federal agents, including ICE and Department of Homeland Security (DHS) personnel, as they carry out their duties.  The troops will not be conducting their own immigration raids or performing regular policing - which remains the role of the (LAPD).  The law generally prohibits domestic use of federal troops for civilian law enforcement, outside of some exceptions like the Insurrection Act.  Although Trump has threatened to invoke that act in the past, during the Black Lives Matter protests of 2020, for example, he has not done so here.  Trump's allies have defended his decision to mobilise the National Guard. Defence Secretary Pete Hegseth also said active-duty US marines stationed at nearby Camp Pendleton would be sent if needed and were on ""high alert"".  The recent raids are part of the president's aim to enact the ""biggest deportation operation"" in US history. Los Angeles, where over one-third of the population is born outside of the US, has been a key target for operations. In early May, ICE announced it had arrested 239 undocumented migrants during a week-long operation in the LA area, as overall arrests and deportations lagged behind Trump's expectations.  The following month, the White House increased its goal for ICE officials to make at least 3,000 arrests per day. Authorities have expanded their search increasingly to include workplaces such as restaurants and retail shops.  The ambitious deportation campaign has included removing migrants to a mega-prison in El Salvador, including at least one who was in the US legally. Many of Trump's actions have been met by legal challenges.  Copyright 2025 BBC. All rights reserved.  The BBC is not responsible for the content of external sites. Read about our approach to external linking.  "
6/10/2025,Article,News,Four crew members missing as Singapore-flagged cargo ship burns off India coast,https://www.bbc.com//news/articles/cd7g9el8q15o,"India's Coast Guard is continuing efforts to douse a fire on a Singapore-flagged cargo ship in the Arabian Sea near the coast of the southern state of Kerala. MV Wan Hai 503, which was heading to India's Mumbai city from Sri Lanka's Colombo, reported an internal container explosion on Monday, resulting in a major fire on board. Eighteen crew members have been rescued, while four are still missing. Singapore has sent a team to assist in the rescue efforts. The Indian National Centre for Ocean Information Services (INCOIS) has issued an alert for the coast of Kerala due to potential oil spill and debris from the ship . Footage on Tuesday showed MV Wan Hai 503 emitting large plumes of smoke as the Indian Navy and Coast Guard tried to extinguish the fire onboard. The Coast Guard said fires and explosions continued to be seen on the ship. In a search and rescue operation carried out on Monday, 18 of the ship's 22 crew members were rescued and brought ashore where some of them are being treated for injuries. The crew members had abandoned the ship when the fire broke out and left on a boat after which they were rescued by the Navy, India's defence ministry said. The Singapore Maritime and Port Authority (MPA) said four crew members are still missing - two of them are from Taiwan, one from Myanmar and one from Indonesia. The MPA said that it has sent a team to help with the rescue. Kerala Ports Minister VN Vasavan said that 50 containers from the ship had fallen into the sea. The ship was carrying 100 tonnes of bunker oil, Mathrubhumi News reported. Containers that fell from it were drifting along the coast of Kerala, INCOIS told Manorama News, and could drift towards its coastline in the next three days.  This is the second such incident in three weeks near the Kerala coast. Last month, a Liberian-flagged vessel carrying oil and hazardous cargo leaked and sank in the Arabian Sea, sparking fears that harmful substances could endanger the health of residents and marine life. The state government then banned fishing within a 20-nautical mile radius of the shipwreck and announced compensation for families from fishing communities in four affected districts.  Kerala's coastal stretch is rich in biodiversity and the state is also an important tourist destination.  Follow BBC News India on Instagram, YouTube, X and Facebook. Copyright 2025 BBC. All rights reserved.  The BBC is not responsible for the content of external sites. Read about our approach to external linking.  "
6/10/2025,Article,News,Schoolchildren swept away as heavy floods and snow hit South Africa,https://www.bbc.com//news/articles/c93lvxglykeo,"A minibus carrying schoolchildren has been swept away by heavy flooding in South Africa, a spokesperson for the Eastern Cape provincial government has told the BBC.  Khuselwa Rantjie said it was unclear how many children were on the bus, but three had so far been found alive. Rescue efforts had been suspended as night had fallen and would resume on Wednesday, she added.  In a separate incident, the bodies of seven people carried away by flood water have been found in the province's OR Tambo district. South Africa has been hit by heavy snow, rains and gale force winds that have claimed the lives of a further five people in a road accident, and have left nearly 500,000 homes without electricity. The Eastern Cape - the birthplace of anti-apartheid icon Nelson Mandela - has been worst-affected by the icy conditions, along with KwaZulu-Natal province.  The bad weather has forced the closure of some major roads in the two provinces to avoid further casualties.  ""This is a devastating reminder of nature's force. We urge everyone to exercise extra caution in areas prone to flooding,"" Eastern Cape premier Oscar Mabuyane said in a statement.  Five people died when a minibus taxi overturned near the coastal city of East London, with the driver saying he had lost control as he was trying to avoid a fallen tree, Eastern Cape transport department spokesperson, Unathi Binqose, told the BBC.  Two people were injured in the accident, he added.  State power utility Eskom said that almost 300,000 homes had been hit by electricity cuts in 14 towns and villages in Eastern Cape. A further 196,000 homes in 24 areas in KwaZulu-Natal were also experiencing power cuts, Eskom spokesperson Daphne Mokwena told the BBC.  KwaZulu-Natal Transport Minister Siboniso Duma said that heavy snow had led to lorries being stuck on roads, causing huge congestion. Grader machines have been stationed on worst-affected roads to clear snow before it reached more than 30cm (12in) in depth.  Meteorologist Lehlohonolo Thobela also warned of strong winds and heavy waves at sea, making navigation for ships difficult.  Both Eastern Cape and KwaZulu-Natal are along the coast.  South Africa regularly receives snowfall during its winter months, from June through August, with temperatures diving below 0C (32F). There is also regular flooding and scientists say that climate change is causing heavier rainfall in the region.  Flash floods and overflowing rivers between 30 April and 2 May caused significant damage to about 4,500 homes, and left 18 people injured. Go to BBCAfrica.com for more news from the African continent.  Follow us on Twitter @BBCAfrica, on Facebook at BBC Africa or on Instagram at bbcafrica Copyright 2025 BBC. All rights reserved.  The BBC is not responsible for the content of external sites. Read about our approach to external linking.  "
6/10/2025,Video,News,Syria former prison guard – 'I showed them no mercy',https://www.bbc.com//news/videos/c78034xn2jpo,"Dozens of former officials have spoken to the BBC about their role enforcing the brutality of the Assad regime – including a man who said he tortured detainees, then defected in 2012. The rare first-hand testimony forms part of a BBC investigation into Syria's notorious prisons under its former president, Bashar al-Assad, who was overthrown last December. A UN report earlier this year said detentions and torture under the former regime constitute crimes against humanity. Syrian human rights groups estimate that around 100,000 people disappeared under Assad's 24-year rule. The BBC agreed to conceal the identities of the former regime officials it spoke to on account of the value of their testimonies. In the UK, you can watch the full documentary, Surviving Syria's Prisons, here. Copyright 2025 BBC. All rights reserved.  The BBC is not responsible for the content of external sites. Read about our approach to external linking.  "
6/10/2025,Article,News,Teaching assistant killed in stabbing outside France school,https://www.bbc.com//news/articles/c5y8mgrmdjvo,"A teaching assistant has died after being stabbed by a student outside a school in Nogent, north-east France, officials say. The 31-year-old teaching assistant was stabbed on Tuesday morning outside Françoise Dolto middle school as pupils' bags were being checked by police, the Haute-Marne prefecture said. French media reported a suspect had been taken into custody, with Prime Minister François Bayrou saying the student was 14 years old.  French President Emmanuel Macron said the teaching assistant was a ""victim of a senseless wave of violence"" and declared that ""the nation is in mourning"".  Politicians across parties condemned the attack and called for more action against knife crime. The suspect was not formerly known to police and the motive for the attack remains unconfirmed, local media reported.  Bayrou and French Education Minister Elisabeth Borne said the teaching assistant was stabbed by a student. Borne said she would travel to Nogent to visit the school, adding ""I commend the composure and dedication of those who acted to restrain the attacker"". Bayrou wrote on social media that ""our thoughts go out"" to the victim's ""little boy"", family, loved ones and the entire educational community. ""The threat of bladed weapons among our children has become critical"", Bayrou said, adding it is ""up to us to make this widespread scourge a public enemy"". Opposition politicians pushed back on the government to take more action. Marine Le Pen, leader of the far-right National Rally (RN), denounced what she called the ""trivialisation of ultraviolence, encouraged by the apathy of the public authorities to put an end to it"". ""Not a week goes by without a tragedy striking a school,"" she wrote on social media. Jordan Bardella, president of the RN, criticised Macron for what Bardella said was a ""denial"" of ""savagery"", seizing upon comments Macron made over the weekend. Speaking on Saturday ahead of the UN Conference on Oceans, Macron had said he did ""not want either the government or Parliament to give in to the conveniences of the moment"", criticising those ""who want to make people forget the fight for the climate"" and ""prefer, in the meantime, to brainwash people about the invasion of the country and the latest news"". There have been other recent knife attacks in schools. Last October, a teacher was killed during an attack at a school in the northern city of Arras. Following a stabbing at a high school in Nantes in April, Bayrou called for ""an intensification of controls put in place around and within schools"". At the end of April, the Ministry of National Education reported that 94 bladed weapons had been seized since March in 958 random bag checks at schools. Jean-Remi Girard, president of the National Union of Secondary Schools, said: ""It's impossible to be more vigilant 24 hours a day. We can't say that every student is a danger or a threat, otherwise we'd never get out of bed in the morning."" Copyright 2025 BBC. All rights reserved.  The BBC is not responsible for the content of external sites. Read about our approach to external linking.  "
6/10/2025,Article,News,Man charged over abortion drug in partner's drink,https://www.bbc.com//news/articles/c0r1enk0x0eo,"A man in Texas has been charged with murder after he allegedly slipped an abortion drug into his pregnant girlfriend's drink. Justin Anthony Banta was arrested on Friday after a months-long investigation into his former girlfriend's accusation that he gave her the Plan C pill (known as an abortion drug) without her knowledge, according to police in the US state. Mr Banta's ex-partner said when she disclosed her pregnancy last year, he had offered to cover the cost of an abortion, but she expressed her desire to keep the baby. Police said after meeting with Mr Banta in a coffee shop, she experienced heavy bleeding and visited the emergency room, but lost her baby a few days later. Mr Banta was also charged with tampering with physical evidence and is awaiting prosecution, according to the Parker County Sheriff's Office. Police said Mr Banta's former girlfriend was around six-weeks pregnant when she went for a check up with her doctor, who told her the baby was healthy and had ""a strong heartbeat"" and vital signs. ""Later that same day, the victim reported she met Banta at a coffee shop... where she expressed her suspicion that Banta had secretly added abortion-inducing pills to her drink without her knowledge or permission,"" the sheriff's office said in a statement. Mr Banta's former girlfriend also said he suggested they buy the Plan C abortion drug online after she disclosed her pregnancy. Following an interview with Mr Banta, police collected his mobile phone, but later discovered ""crucial evidence relating to the case"" was deleted, they said. Investigators said they believed Mr Banta, who worked in IT at the US Department of Justice, later accessed his phone remotely and performed a ""reset"". An arrest warrant for him was then obtained, and Mr Banta was charged last week with capital murder and tampering with physical evidence. Police said the cases against Mr Banta remained active and ongoing. Texas has some of the most restrictive abortion laws in the US, banning all abortions except in dire medical circumstances. The state introduced a law in 2022 that carries civil and criminal penalties for those who perform abortions. A law in 2021 also bans the termination of pregnancies after a baby's heartbeat is detected, but does make exceptions for medical emergencies. Copyright 2025 BBC. All rights reserved.  The BBC is not responsible for the content of external sites. Read about our approach to external linking.  "
6/10/2025,Article,News,Foreign Office staff told to consider resigning if they disagree over Gaza ,https://www.bbc.com//news/articles/cy8nzx1475ro,"More than 300 Foreign Office staff who raised concerns about potential UK ""complicity"" in Israel's conduct in Gaza were told if they profoundly disagreed with government policy they could consider resigning. The staff letter, seen by the BBC, was sent to Foreign Secretary David Lammy last month. In it, officials questioned the UK's continued arms sales and what they called a ""stark… disregard for international law"" by Israel. The Foreign Office said it had systems for staff to raise concerns and added the government had ""rigorously applied international law"" in relation to the war in Gaza. The reply to the staff letter was sent from Sir Oliver Robbins and Nick Dyer, the two most senior civil servants in the Foreign Office. They told the signatories: ""[I]f your disagreement with any aspect of government policy or action is profound your ultimate recourse is to resign from the Civil Service. This is an honourable course."" The response was met with ""outrage"" according to one official who signed the letter.  ""[There is] frustration and a deep sense of disappointment that the space for challenge is being further shut down,"" said the official, speaking on condition of anonymity. The officials' letter signed on 16 May was at least the fourth such document sent by concerned civil servants to ministers and Foreign Office managers since late 2023.  The BBC understands the signatories represent a wide range of expertise across Foreign Office departments, embassies and missions including in London and overseas. The letters have reflected the scale of the civilian death toll in Gaza, Israel's restrictions on aid supply and Israeli settlement expansion and settler violence in the occupied West Bank, among other issues.  Staff are also said to feel disquiet that many of their warnings have not been acted on, and those whose jobs it is to implement decisions could be liable in any future legal proceedings against the UK government. The 16 May letter said: ""In July 2024, staff expressed concern about Israel's violations of international humanitarian law and potential UK government complicity. In the intervening period, the reality of Israel's disregard for international law has become more stark."" It went on to list the killing by Israeli forces of 15 humanitarian workers in March and Israel's suspension of all aid to Gaza in the same month ""leading many experts and humanitarian organisations to accuse Israel of using starvation as a weapon of war"".  It said the UK government's position had contributed to ""the erosion of global norms"", citing continued weapons exports and the visit to London in April by Israel's foreign minister Gideon Sa'ar ""despite concerns about violations of international law"".  It added that, ""supported by the Trump administration, the Israeli government has made explicit plans for the forcible transfer of Gaza's population"". In their response on 29 May, Sir Oliver and Mr Dyer told the staff the department wanted to see ""healthy challenge"" as part of the policy-making process and had already set up a ""bespoke Challenge Board"" and regular listening sessions with employees to hear concerns in this policy area.  They wrote that officials were entitled to their personal views, but added it ""might be helpful"" to ""remind"" them of mechanisms available to those uncomfortable with policy.  It went on to list a series of ways staff could raise issues, before adding that resignation was an ""ultimate recourse"" and ""honourable course"" for those with profound disagreements over government policy.  ""[T]he bargain at the heart of the British Civil Service is that we sign up to deliver the policies of the government of the day wholeheartedly, within the limits imposed by the law and the Civil Service Code,"" it said. A former official who saw the correspondence described the response as ""obfuscation"". ""This… simply provides the government with supposed 'plausible deniability' for enabling breaches of international law,"" said the former official who also spoke on condition of anonymity. They said that the FCDO and broader civil service seemed unable to learn the lessons of the past, referring to the 2016 Chilcot Report recommendations following the inquiry into the Iraq war.  Chilcot criticised the emergence of an ""ingrained belief"" within senior levels of the UK policy community over the existence of weapons of mass destruction in Iraq. His recommendations led to civil service reforms designed to challenge ""groupthink"" and empowering officials to speak out about policy concerns. Mark Smith resigned from the Foreign Office last year in protest at arm sales to Israel.  He told the BBC's World at One there were ""proper pathways and procedures"" for raising concerns but added: ""The reality is that I went through every single one of those procedures and was completely ignored, completely shunned. ""Obviously, we have a duty to respect our democratically elected representatives... however, we also have a duty to hold the government to account.  ""We are one of the pillars of our democracy and it is absolutely beholden to us to say when things are wrong, to say when things are unlawful."" The UK government's position is that Israel is ""at risk"" of breaching humanitarian law. Israel has previously said it operates according to international law. Palestinian rights groups have rejected this, taking evidence to several legal cases brought internationally. In September, Foreign Secretary David Lammy announced the suspension of around 30 arms export licenses to Israel, out of a total of about 350, citing a ""clear risk"" they might be used to commit or facilitate a serious violation of international humanitarian law.  It came weeks before the International Criminal Court (ICC) issued arrest warrants for Israel's prime minister Benjamin Netanyahu and former defence minister Yoav Gallant as well as the military commander of Hamas.  Israel's government has consistently rejected allegations it has committed war crimes in Gaza, calling the ICC's decision ""antisemitic"", while the US Department of State last week announced sanctions against four ICC judges for ""transgressions against the United States and Israel"". In a statement, the FCDO said the job of civil servants was to deliver on government policies and provide professional, impartial advice as set out in the Civil Service Code.  ""There are systems in place which allow them to raise concerns if they have them,"" said the spokesperson. They added: ""Since day one, this government has rigorously applied international law in relation to the war in Gaza. One of our first acts in government was to suspend export licences that could be used by the Israeli Defence Forces in Gaza…  ""We have suspended direct exports of F-35 parts for use by Israel, and we categorically do not export any bombs or ammunition which could be used in Gaza,"" added the spokesperson. On 19 May the UK issued a joint statement with France and Canada threatening ""concrete actions"" against Israel if it did not stop its renewed military offensive and lift aid restrictions. Copyright 2025 BBC. All rights reserved.  The BBC is not responsible for the content of external sites. Read about our approach to external linking.  "
